Q10,Q50,Q90
110.24919891357422,158.3199462890625,175.27830505371094
119.29539489746094,157.4005126953125,168.5547332763672
120.99756622314453,156.57411193847656,167.55799865722656
121.80099487304688,164.0244140625,179.6273651123047
130.88482666015625,169.8186492919922,179.8124542236328
134.54039001464844,182.46710205078125,197.09982299804688
159.97052001953125,183.3886260986328,216.60081481933594
172.54039001464844,202.7743377685547,210.2821502685547
167.76210021972656,193.85801696777344,212.42892456054688
145.85533142089844,173.6338348388672,192.9202117919922
145.0755615234375,148.8473358154297,169.6576690673828
120.88514709472656,133.1653594970703,155.0223846435547
119.48212432861328,121.63607025146484,152.63136291503906
108.96070861816406,113.51202392578125,135.8913116455078
110.5670394897461,110.78517150878906,139.42739868164062
102.5599594116211,107.77738952636719,145.95037841796875
117.9053955078125,115.50959777832031,142.52407836914062
131.6599578857422,143.03781127929688,174.2148895263672
135.29339599609375,156.9937286376953,181.16200256347656
150.44903564453125,161.4764404296875,190.19874572753906
144.54872131347656,167.0712127685547,191.11328125
151.63204956054688,170.83323669433594,187.43511962890625
135.52371215820312,151.04429626464844,174.49884033203125
124.5038833618164,154.4793701171875,179.17015075683594
111.73270416259766,163.08993530273438,179.93954467773438
121.75726318359375,163.64364624023438,171.45559692382812
124.81232452392578,162.11422729492188,171.7236785888672
124.2269287109375,169.00732421875,184.93157958984375
133.56201171875,175.8189697265625,182.7294464111328
137.89537048339844,186.01625061035156,202.43247985839844
162.06173706054688,187.14524841308594,220.53102111816406
175.38526916503906,206.0406951904297,212.747314453125
170.19332885742188,197.76690673828125,215.61700439453125
148.33218383789062,176.9646453857422,199.43846130371094
146.79417419433594,149.68601989746094,174.3868408203125
122.0009765625,133.70858764648438,160.10401916503906
119.11534118652344,123.06597900390625,156.0876007080078
109.61808776855469,114.45420837402344,139.11756896972656
109.91790008544922,113.31207275390625,143.5914306640625
103.15178680419922,107.94247436523438,147.63839721679688
118.62590026855469,114.49816131591797,145.05332946777344
132.38890075683594,142.5403594970703,177.36708068847656
135.96849060058594,156.89108276367188,183.7969512939453
151.3625030517578,162.43638610839844,191.9574432373047
145.2142791748047,168.32614135742188,194.8567352294922
151.0899200439453,171.71267700195312,189.3564910888672
137.41128540039062,150.18887329101562,176.06332397460938
126.02140808105469,155.10293579101562,182.16224670410156
114.21410369873047,169.19827270507812,186.8017120361328
125.0046157836914,173.0452117919922,179.0709991455078
131.76759338378906,167.9768524169922,178.19090270996094
129.4791259765625,177.4872283935547,192.6809844970703
139.69264221191406,185.12193298339844,187.6683807373047
142.40406799316406,195.70021057128906,209.8421630859375
165.82220458984375,195.92620849609375,224.3365020751953
179.34925842285156,217.1482391357422,218.51971435546875
174.37171936035156,204.63385009765625,222.5486602783203
150.93490600585938,184.0099334716797,205.680419921875
150.34942626953125,155.0177459716797,177.33438110351562
123.62059783935547,132.102294921875,161.49923706054688
121.28994750976562,123.68128967285156,158.76828002929688
110.26236724853516,115.38029479980469,138.99134826660156
110.88554382324219,112.02214050292969,142.61712646484375
102.9276351928711,107.31441497802734,151.66371154785156
117.88774871826172,114.30524444580078,144.9368133544922
134.20179748535156,143.9512481689453,179.1962890625
136.66439819335938,160.0717010498047,189.26585388183594
152.8974609375,163.786376953125,193.8184051513672
149.1058349609375,169.39361572265625,196.91156005859375
154.4072265625,176.43106079101562,192.2211151123047
137.5900421142578,151.8619842529297,178.6868438720703
127.08345794677734,159.09193420410156,183.0859375
113.54163360595703,167.23233032226562,186.1869659423828
123.5325927734375,168.9635467529297,178.13375854492188
130.7271728515625,165.8749237060547,178.7576446533203
130.74290466308594,175.15777587890625,191.31787109375
138.8836669921875,183.38180541992188,188.51808166503906
141.12596130371094,194.62847900390625,210.18600463867188
164.74647521972656,193.67694091796875,223.16395568847656
179.33993530273438,217.20651245117188,219.03538513183594
171.72145080566406,201.06829833984375,220.95379638671875
150.45013427734375,181.81008911132812,203.77049255371094
148.81529235839844,154.91697692871094,177.19703674316406
124.05719757080078,131.5110321044922,161.4656219482422
120.03620147705078,122.83885955810547,157.05267333984375
111.05455780029297,114.86225128173828,138.9865264892578
110.71633911132812,109.78377532958984,142.5233154296875
104.13954162597656,106.03817749023438,148.58447265625
119.72021484375,113.52272033691406,144.89852905273438
132.98687744140625,143.3192901611328,177.74302673339844
136.8937225341797,161.1242218017578,186.2265625
151.8516082763672,165.93382263183594,191.2397003173828
150.09617614746094,168.1250457763672,194.2183837890625
154.02899169921875,173.63792419433594,189.1183624267578
135.952392578125,151.057373046875,177.8736114501953
124.98701477050781,157.22320556640625,182.83047485351562
105.74788665771484,148.36648559570312,165.7384490966797
110.81937408447266,148.4878692626953,159.56893920898438
116.52615356445312,147.44163513183594,159.70872497558594
116.83219909667969,155.0897979736328,171.5753936767578
124.42105865478516,160.23788452148438,170.4777069091797
126.9153823852539,174.6272430419922,189.7569580078125
153.2359161376953,178.34104919433594,208.66470336914062
164.9140625,192.61233520507812,204.20001220703125
154.83961486816406,183.0167694091797,202.15977478027344
140.9027557373047,163.144287109375,183.62965393066406
138.01434326171875,142.61422729492188,163.4620361328125
120.90277862548828,127.0279312133789,148.34417724609375
114.9931640625,118.71401977539062,145.9715118408203
109.63734436035156,113.33373260498047,134.4480743408203
111.4501953125,109.62911224365234,136.28851318359375
103.16976165771484,107.40105438232422,141.22129821777344
117.07955169677734,115.92269897460938,138.76564025878906
131.19140625,142.2907257080078,167.2388153076172
134.9830780029297,156.84681701660156,175.19866943359375
144.06455993652344,158.6155242919922,183.31504821777344
144.9239044189453,163.2725372314453,182.72544860839844
146.60787963867188,163.71449279785156,179.92962646484375
127.39889526367188,144.02435302734375,168.47442626953125
118.01009368896484,145.55992126464844,169.1317596435547
107.18453979492188,148.95643615722656,168.36207580566406
113.48867797851562,150.61007690429688,161.51914978027344
117.47077941894531,150.20452880859375,162.7760467529297
116.07190704345703,155.53485107421875,172.49073791503906
124.58692932128906,164.13267517089844,171.88992309570312
128.6269073486328,175.78976440429688,192.13124084472656
154.46914672851562,178.99313354492188,209.6458740234375
165.24545288085938,195.70538330078125,204.6894989013672
158.0093994140625,183.22105407714844,206.0607147216797
140.9745635986328,165.39395141601562,187.52845764160156
139.2934112548828,142.72268676757812,162.81504821777344
120.60826873779297,129.33364868164062,150.33433532714844
116.74172973632812,120.76904296875,147.563232421875
109.5690689086914,114.35604858398438,134.80052185058594
111.07450103759766,112.66377258300781,136.2630615234375
102.36029815673828,109.38287353515625,142.54110717773438
116.42229461669922,114.9650650024414,140.2701416015625
131.38522338867188,144.33999633789062,169.0364532470703
133.773193359375,156.7866668701172,177.4196014404297
144.3826141357422,158.54539489746094,185.15045166015625
143.82601928710938,163.73541259765625,185.4384307861328
147.86270141601562,167.04302978515625,180.5822296142578
130.38442993164062,145.61473083496094,169.3022918701172
120.70770263671875,149.2220916748047,172.11256408691406
109.67644500732422,156.95594787597656,175.3632049560547
117.38914489746094,157.90493774414062,168.53399658203125
121.4299087524414,155.608154296875,169.1375732421875
122.2925033569336,165.38710021972656,181.96849060058594
132.00767517089844,173.3025665283203,179.7639617919922
134.9792022705078,182.80450439453125,197.89984130859375
159.0771484375,185.1442108154297,216.49981689453125
173.10418701171875,204.0596466064453,210.1674041748047
166.54537963867188,191.22683715820312,213.31524658203125
144.16700744628906,173.41207885742188,194.41810607910156
144.8755340576172,147.75735473632812,168.95449829101562
120.2524642944336,132.82896423339844,156.70925903320312
119.58586883544922,122.92475891113281,153.32484436035156
111.19042205810547,114.78794860839844,135.61563110351562
110.58336639404297,113.58252716064453,139.2662353515625
104.2485580444336,108.2499008178711,146.81346130371094
118.1286392211914,116.03656005859375,141.53367614746094
132.46878051757812,144.80567932128906,175.0572509765625
135.46571350097656,159.5066680908203,182.7191162109375
147.73870849609375,163.93202209472656,189.41357421875
146.47378540039062,168.17440795898438,190.69505310058594
151.93325805664062,170.88796997070312,188.13340759277344
135.23512268066406,150.54354858398438,174.51194763183594
126.09510040283203,154.27207946777344,177.37689208984375
112.79486083984375,165.670654296875,182.61058044433594
123.60385131835938,165.37680053710938,175.89756774902344
126.19374084472656,164.13185119628906,174.4504852294922
126.60477447509766,172.2231903076172,187.4326934814453
136.02418518066406,178.89666748046875,186.11492919921875
139.66856384277344,190.68295288085938,203.956787109375
164.33438110351562,189.61026000976562,222.87318420410156
178.03907775878906,211.60296630859375,215.40185546875
173.2357635498047,201.69076538085938,219.52984619140625
149.9062042236328,180.16493225097656,200.68215942382812
149.74954223632812,152.9176483154297,174.78111267089844
122.78781127929688,135.19850158691406,159.97134399414062
121.33684539794922,123.37614440917969,156.84799194335938
109.5168228149414,114.23004913330078,138.03073120117188
111.70316314697266,110.61293029785156,142.77352905273438
102.00418090820312,107.37420654296875,149.89559936523438
118.96317291259766,115.460205078125,145.1339874267578
132.31329345703125,144.29566955566406,178.20330810546875
136.23660278320312,159.08151245117188,185.4939727783203
153.70680236816406,164.01426696777344,193.7268829345703
146.838134765625,170.06454467773438,195.69183349609375
154.4033966064453,174.6014862060547,191.1454620361328
138.79319763183594,153.9829559326172,178.04591369628906
127.5941390991211,158.77159118652344,184.1607208251953
112.5315933227539,165.36691284179688,182.1790313720703
123.10399627685547,166.05860900878906,173.77418518066406
126.4281997680664,164.43780517578125,173.84442138671875
125.73456573486328,171.62547302246094,187.32179260253906
135.16778564453125,178.6424102783203,184.69680786132812
139.51522827148438,188.57608032226562,204.54888916015625
163.39068603515625,189.03160095214844,222.4457244873047
177.09823608398438,208.80210876464844,214.37469482421875
171.92127990722656,200.18211364746094,217.8310546875
149.54917907714844,179.0018768310547,201.82278442382812
148.18130493164062,150.9855499267578,175.9700164794922
122.56120300292969,134.28009033203125,161.60360717773438
119.69750213623047,123.62158966064453,157.37451171875
109.82964324951172,114.70404815673828,139.7649383544922
110.27218627929688,113.22376251220703,144.58895874023438
102.99560546875,107.78052520751953,148.83102416992188
118.95814514160156,114.40335083007812,145.84042358398438
132.59683227539062,142.93601989746094,178.60279846191406
136.29751586914062,157.52577209472656,185.13438415527344
152.4067840576172,163.24427795410156,193.0050811767578
145.95164489746094,169.2283477783203,196.27500915527344
151.97406005859375,172.9215850830078,190.4748992919922
138.3907012939453,151.0831756591797,177.13595581054688
126.96320343017578,156.51791381835938,183.6820831298828
113.45983123779297,166.7565155029297,184.3033447265625
123.65320587158203,170.32533264160156,176.56069946289062
130.1045684814453,165.4097900390625,175.9075164794922
127.94731140136719,174.88644409179688,190.0771026611328
138.13906860351562,182.07281494140625,185.4713897705078
140.69015502929688,193.05545043945312,207.46676635742188
164.33668518066406,193.90455627441406,222.1396484375
177.62184143066406,214.13992309570312,217.01754760742188
172.65853881835938,201.9326629638672,220.2258758544922
149.45228576660156,181.9076690673828,202.93936157226562
148.678955078125,153.6859588623047,175.6420440673828
122.947021484375,131.23626708984375,159.74542236328125
120.65803527832031,123.08604431152344,157.39622497558594
110.1238021850586,115.08963012695312,138.19020080566406
110.62010192871094,112.06770324707031,141.3474884033203
103.15689086914062,107.30815124511719,150.19619750976562
117.51051330566406,114.19692993164062,143.9805145263672
133.99838256835938,143.42489624023438,177.8946990966797
136.34632873535156,159.42092895507812,187.80551147460938
151.84005737304688,163.0129852294922,192.54595947265625
148.3428497314453,168.3205108642578,195.4202880859375
153.61444091796875,175.12062072753906,191.0537109375
136.323486328125,150.7329559326172,177.41123962402344
125.98438262939453,157.639892578125,181.22669982910156
110.92866516113281,159.14822387695312,178.25477600097656
118.7230453491211,160.29791259765625,169.92684936523438
125.10604095458984,157.4475860595703,171.26751708984375
125.303955078125,165.90582275390625,182.78489685058594
133.23568725585938,173.3509979248047,181.5947265625
135.29420471191406,185.59085083007812,202.65887451171875
159.99267578125,187.01910400390625,216.2376708984375
173.33775329589844,207.50405883789062,213.35733032226562
165.4738311767578,192.3929443359375,213.01852416992188
146.1102752685547,174.55064392089844,195.23355102539062
143.8021240234375,150.43482971191406,171.5115966796875
122.05778503417969,129.3383026123047,155.97776794433594
118.0959243774414,120.89349365234375,152.35269165039062
